,city,street,district,Reference and listing Date,contract,type,surface,rooms,floor,total building floors,Car parking,availability,other features,price (k€),condominium fees,deposit,year of construction,condition,heating,Air conditioner,Energy Efficiency
1814,Milan,Via Giacomo Venezian,Città Studi,33823 - 03/06/2024,"Rent, open",Apartment | Medium property class,60,2,3,4 floors,1 in garage/box,Available,Security doorTerraceFull day conciergeFurnishedPrivate garden,1200.0,€ 300/month,Not indicated,1950,Excellent / Refurbished,"Independent, floor heating",,E
1975,Milan,Via Francesco Caracciolo,Cenisio,EK-77170400 - 02/23/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,67,2,0,8 floors,,Available,Video entryphoneSecurity doorClosetHalf-day conciergeCentralized TV systemFurnishedWindow frames in glass / woodDouble exposure,1200.0,€ 200/month,"€ 3,900",,Excellent / Refurbished,"Central, with radiators",,"F≥ 3,51 kWh/m² year"
1974,Milan,Viale Teodorico,Sempione,1590 - 03/04/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,80,2,3,5 floors,,Available,Security doorBalconyHalf-day conciergeCentralized TV systemFurnishedWindow frames in double glass / PVCDouble exposure,1200.0,€ 200/month,"€ 3,600",1930,Excellent / Refurbished,"Central, with radiators, powered by methane",,F≥ 175 kWh/m² year
1958,Milan,Via Savona,Solari,EK-109567975 - 03/01/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,50,2,2,2 floors,,Available,Electric gateOptic fiberSecurity doorBalconyCentralized TV systemFurnishedWindow frames in glass / metalDouble exposure,1200.0,€ 50/month,"€ 3,600",1900,Good condition / Liveable,"Independent, with radiators, powered by methane",,G≥ 175 kWh/m² year
1955,Milan,Ripa di Porta Ticinese,Navigli - Darsena,open space naviglio grande - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,50,2,0,1 floor,,Available,Optic fiberSecurity doorInternal exposureSingle tv systemFurnishedWindow frames in double glass / metal,1200.0,,Not indicated,1900,Good condition / Liveable,"Independent, with radiators, gas powered","Independent, cold",G≥ 175 kWh/m² year
816,Milan,Via Luigi Zoja,Quarto Cagnino,EK-109692889 - 03/03/2024,Rent,Apartment | Full ownership,55,2,1,7 floors,,Available,ReceptionAlarm systemKitchenBalconyFurnishedShared gardenWindow frames in triple glass / woodExposure south,1200.0,€ 100/month,"€ 3,900",2015,New / Under construction,Central,Cold/hot,A21 kWh/m² year
1945,Milan,Via Losanna,Cenisio,EK-109397643 - 02/24/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,50,2,8,8 floors,,Available,Optic fiberSecurity doorInternal exposureBalconyHalf-day conciergeCentralized TV systemFurnishedWindow frames in glass / metal,1200.0,€ 300/month,Not indicated,1960,Good condition / Liveable,"Central, with radiators, powered by methane","Independent, cold/hot",D115.35 kWh/m² year
854,Milan,Via Mangone,Corso Genova,60859647 - 02/07/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,55,2,1,4 floors,,Available,Optic fiberSecurity doorClosetHalf-day conciergeCentralized TV systemFurnishedShared gardenWindow frames in triple glass / woodDouble exposure,1200.0,€ 100/month,Not indicated,1930,Good condition / Liveable,"Independent, with radiators, powered by methane",,G238.99 kWh/m² year
1797,Milan,"Via Martiri Triestini, 5",San Siro,103832 - 27/02/2024 - 02/27/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,75,2,4,6 floors,,Available,Optic fiberVideo entryphoneSecurity doorBalconyHalf-day conciergeCentralized TV systemFurnishedShared gardenWindow frames in glass / woodDouble exposure,1200.0,€ 200/month,"€ 3,600",1965,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",G210.72 kWh/m² year
43,Milan,Via Marcona,Indipendenza,M20414 - 03/04/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,50,2,0,6 floors,,Available,Optic fiberVideo entryphoneSecurity doorInternal exposureClosetFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / wood,1200.0,€ 200/month,Not indicated,2000,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold/hot",D79.67 kWh/m² year
870,Milan,Corso Lodi 113,Corvetto,LD113 - 02/27/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,75,3,3,7 floors,,Available,Optic fiberVideo entryphoneSecurity doorExternal exposureBalconyFull day conciergeCentralized TV systemFurnishedWindow frames in double glass / PVC,1200.0,€ 160/month,"€ 3,600",1960,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold",E97.22 kWh/m² year
1888,Milan,Via Nicola Antonio Porpora,Casoretto,Apartment Loreto - 02/27/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,26,1,5,5 floors,,Available,Electric gateFireplaceOptic fiberSecurity doorExternal exposureClosetFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVC,1200.0,€ 50/month,"€ 1,200",1960,Excellent / Refurbished,"Independent, air heating, power supply","Independent, cold/hot",E132.32 kWh/m² year
1885,Milan,Piazza Po,Washington,283 - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,62,2,1,7 floors,,Available,Security doorExternal exposureBalconyHalf-day conciergeCentralized TV systemPartially furnishedCellarShared gardenWindow frames in glass / wood,1200.0,€ 150/month,"€ 3,600",1960,Good condition / Liveable,"Central, with radiators, powered by methane","Independent, cold/hot",E122.68 kWh/m² year
1853,Milan,Via Veglia,Istria,60864513 - 02/21/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,60,2,2,5 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorBalconyCentralized TV systemFurnishedShared gardenWindow frames in double glass / metalDouble exposure,1200.0,€ 150/month,Not indicated,1970,Good condition / Liveable,"Central, with radiators, powered by methane","Independent, cold/hot",G175 kWh/m² year
882,Milan,Via Alfredo Catalani,Casoretto,877 - 02/07/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,50,2,0,3 floors,1 in garage/box,Available from 01/04/2024,Electric gateSecurity doorExternal exposureBalconyCentralized TV systemFurnishedWindow frames in double glass / wood,1200.0,€ 100/month,"€ 3,600",1900,Good condition / Liveable,"Central, with radiators, gas powered",,E≥ 175 kWh/m² year
1827,Milan,Via Galeno,Villa San Giovanni,EK-90311297 - 02/17/2024,"Rent, 4+4",Apartment | Full ownership | Luxury property,61,2,"2 floors: Basement (-1), 1",2 floors,2 in garage/box,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorInternal exposureClosetSingle tv systemFurnishedCellarShared gardenWindow frames in double glass / PVC,1200.0,€ 200/month,Not indicated,2020,Excellent / Refurbished,"Independent, floor heating","Independent, cold/hot",A+≥ 175 kWh/m² year
776,Milan,Via Giuseppe Ripamonti,Vigentino - Fatima,MI41RC - 01/31/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,60,2,0,1 floor,,Available,Electric gateOptic fiberSecurity doorInternal exposureCentralized TV systemPartially furnishedShared gardenWindow frames in double glass / PVC,1200.0,€ 75/month,"€ 3,600",,Good condition / Liveable,"Independent, with radiators, gas powered",,G≥ 175 kWh/m² year
800,Milan,Via Donatello,Città Studi,1753 - 02/23/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,60,2,1,6 floors,,Available,BalconyFull day conciergeFurnishedShared garden,1200.0,€ 150/month,Not indicated,1959,Good condition / Liveable,"Central, with radiators, powered by methane","Independent, cold/hot",E121 kWh/m² year
1247,Milan,Via Bessarione,Corvetto,EK-104157055 - 07/13/2023,"Rent, 4+4",Apartment | Full ownership | Medium property class,65,2,1,4 floors,,Available,Optic fiberVideo entryphoneAlarm systemSecurity doorClosetBalconyTerraceHalf-day conciergeCentralized TV systemFurnishedCellarWindow frames in double glass / PVCDouble exposure,1200.0,€ 200/month,"€ 3,600",1970,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",F314.01 kWh/m² year
226,Milan,Via Passo Buole,Porta Romana - Medaglie dOro,Passo Buole 2024 - 02/29/2024,Rent,Apartment | Full ownership | Medium property class,50,2,2,5 floors,,Available,Optic fiberExternal exposureBalconyHalf-day conciergeCentralized TV systemFurnished,1200.0,€ 100/month,Not indicated,,Excellent / Refurbished,Independent,Independent,F147.02 kWh/m² year
694,Milan,Via Demonte,Prato Centenaro,926 - 02/07/2024,Rent,Apartment | Full ownership | Medium property class,61,2,2,2 floors,,Available,Security doorBalconySingle tv systemFurnishedWindow frames in double glass / PVC,1200.0,€ 1/month,Not indicated,1900,Excellent / Refurbished,Central,,
986,Milan,"Via Riva di Trento, 12, 20139 Milano MI, Italia",Corvetto,FIMM_00076740 - 03/04/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,60,2,4,5 floors,,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorInternal exposureBalconyTerraceCentralized TV systemFurnishedShared gardenWindow frames in double glass / wood,1200.0,€ 150/month,"€ 3,600",1990,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold/hot",E≥ 175 kWh/m² year
1510,Milan,Via Gavirate,San Siro,EK-92458068 - 02/19/2024,Rent,Apartment | Full ownership,55,2,3,3 floors,1 in shared parking,,ReceptionKitchenBalconyFurnishedExposure east,1200.0,€ 150/month,"€ 2,190",1965,Excellent / Refurbished,Central,Cold/hot,D148 kWh/m² year
340,Milan,Via Vincenzo Giordano Orsini,Bande Nere,MILANO - MM BANDE NERE - 02/23/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,50,2,7,8 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorExternal exposureClosetBalconyHalf-day conciergeCentralized TV systemFurnishedCellarShared gardenWindow frames in double glass / PVC,1200.0,€ 130/month,Not indicated,1970,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",D180 kWh/m² year
649,Milan,Via Roberto Cozzi,Greco - Segnano,31645 - 03/06/2024,"Rent, open",Apartment | Full ownership | Stately property class,55,2,1,5 floors,,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorExternal exposureClosetCentralized TV systemFurnishedWindow frames in glass / PVC,1200.0,,Not indicated,,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold/hot",A≥ 175 kWh/m² year
354,Milan,Piazzale Brescia,Monte Rosa - Lotto,EK-68478489 - 02/20/2024,Rent,Apartment | Full ownership | Medium property class,55,2,7,9 floors,,Available,Security doorExternal exposureBalconyFurnishedCellarWindow frames in glass / PVC,1200.0,,Not indicated,1960,Excellent / Refurbished,"Central, with radiators",Independent,F153.21 kWh/m² year
1494,Milan,Ripa di Porta Ticinese,Navigli - Darsena,EK-108580483 - 02/13/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,55,2,4,6 floors,,Available,Optic fiberSecurity doorInternal exposureHalf-day conciergeCentralized TV systemFurnishedWindow frames in double glass / metal,1200.0,,"€ 3,600",1965,Excellent / Refurbished,"Central, floor heating, powered by methane",,G175 kWh/m² year
1046,Milan,"Via Rutilia , 27",Ripamonti,Cod. rif 3118253 - 03/04/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,50,2,3,4 floors,,Available,Optic fiberSecurity doorExternal exposureBalconyCentralized TV systemFurnishedWindow frames in double glass / PVC,1200.0,€ 100/month,"€ 3,600",1970,Excellent / Refurbished,"Independent, with radiators, gas powered","Independent, cold",F≥ 175 kWh/m² year
1049,Milan,Via Vittorio Salmini,Porta Romana - Medaglie dOro,60862532 - 03/01/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,50,2,2,2 floors,,Available,Optic fiberSecurity doorInternal exposureFull day conciergeSingle tv systemFurnishedWindow frames in double glass / wood,1200.0,€ 100/month,"€ 3,900",1930,Good condition / Liveable,"Independent, with radiators, powered by methane","Independent, cold/hot",F84 kWh/m² year
1482,Milan,VIALE MONZA 19,Pasteur,Monza 19 - 01/22/2024,"Rent, transitory",Apartment | Medium property class,45,2,3,3 floors,1 in shared parking,Available,FireplaceOptic fiberSecurity doorSingle tv systemFurnished,1200.0,€ 100/month,Not indicated,,New / Under construction,"Independent, with radiators",,
365,Milan,Via  Tremelloni,Precotto,1519 - 03/05/2024,Rent,Apartment,57,2,2,2 floors,,Available,Security doorPartially furnishedShared garden,1200.0,€ 179/month,Not indicated,1898,Excellent / Refurbished,"Independent, floor heating","Independent, cold/hot",B52.59 kWh/m² year
637,Milan,Via Pasquale Fornari,Gambara,Affitto Fornari - 03/01/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,70,2,4,6 floors,,Available,Security doorExternal exposureBalconyCentralized TV systemFurnishedCellarShared gardenWindow frames in glass / PVC,1200.0,€ 200/month,"€ 3,600",1960,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold",E108.46 kWh/m² year
375,Milan,Via Giovanni Ambrogio De Predis,Certosa,De_Predis - 12/12/2023,"Rent, students (6-36 months)",Apartment | Full ownership | Medium property class,80,3,1,4 floors,,Available,Alarm systemFull day conciergeCentralized TV systemFurnishedCellarShared gardenWindow frames in double glass / PVCDouble exposure,1200.0,€ 200/month,Not indicated,,Excellent / Refurbished,"Central, with radiators, powered by methane",,G≥ 175 kWh/m² year
634,Milan,Via Luigi Zoja,Quarto Cagnino,31847 - 03/06/2024,Rent,Apartment | Full ownership | Stately property class,55,2,1,5 floors,1 in shared parking,Available,Optic fiberVideo entryphoneSecurity doorExternal exposureBalconyHalf-day conciergeSingle tv systemFurnishedShared gardenWindow frames in double glass / metal,1200.0,,Not indicated,,Excellent / Refurbished,"Central, air heating, gas powered","Independent, cold/hot",A≥ 175 kWh/m² year
380,Milan,Via Roberto Cozzi,Greco - Segnano,31645 - 03/06/2024,"Rent, open",Apartment | Full ownership | Stately property class,55,2,2,5 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorExternal exposureClosetBalconyCentralized TV systemFurnishedCellarWindow frames in double glass / PVC,1200.0,No condominium fees,Not indicated,1900,Excellent / Refurbished,"Central, with radiators, gas powered","Central, cold/hot",B≥ 175 kWh/m² year
385,Milan,Largo Oreste Murani,Città Studi,EK-109103969 - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,65,2,1,5 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorClosetFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVCDouble exposure,1200.0,€ 180/month,"€ 3,600",1960,Excellent / Refurbished,"Central, floor heating, powered by methane",,
1068,Milan,Corso San Gottardo,Ascanio Sforza,sangottardo14 - 02/13/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,60,2,2,3 floors,,Available from 16/04/2024,Optic fiberSecurity doorInternal exposureClosetHalf-day conciergeCentralized TV systemFurnishedShared gardenWindow frames in glass / PVC,1200.0,€ 100/month,Not indicated,1960,Good condition / Liveable,,,F≥ 175 kWh/m² year
1071,Milan,Via Luigi Canonica,Paolo Sarpi,EK-109940937 - 03/06/2024,"Rent, 3+2",Apartment | Full ownership | Medium property class,35,1,5,6 floors,,Available,Optic fiberVideo entryphoneSecurity doorInternal exposureClosetBalconyCentralized TV systemFurnishedWindow frames in double glass / PVC,1200.0,€ 250/month,"€ 2,850",1960,Excellent / Refurbished,"Central, floor heating, powered by methane","Independent, cold/hot",E166 kWh/m² year
1036,Milan,Via Giuseppe Sercognani,Bovisa,Rif.265 - 03/05/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,60,2,0,6 floors,,Available,Electric gateVideo entryphoneSecurity doorInternal exposureHalf-day conciergeCentralized TV systemFurnishedCellarWindow frames in double glass / PVC,1200.0,€ 100/month,"€ 3,600",1960,Excellent / Refurbished,"Central, floor heating, powered by methane","Independent, cold/hot",E135.96 kWh/m² year
1520,Milan,Via Santuario del Sacro Cuore,Comasina,sc5 - 03/06/2024,"Rent, open",Apartment | Full ownership | Stately property class,55,2,6,8 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorExternal exposureClosetTerraceSingle tv systemFurnishedCellarShared gardenWindow frames in double glass / wood,1200.0,€ 120/month,"€ 3,600",2008,Excellent / Refurbished,"Independent, with radiators, powered by methane",,C≥ 175 kWh/m² year
1513,Milan,Via Giacomo Filippo Lacaita,Rogoredo,lacaita - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,60,2,4,8 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorExternal exposureClosetTerraceSingle tv systemFurnishedCellarShared gardenWindow frames in double glass / PVC,1200.0,€ 50/month,Not indicated,2008,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold/hot",C111 kWh/m² year
1525,Milan,Via Luigi Zoja,Quarto Cagnino,ZOJA31 - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,55,2,1,7 floors,,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorInternal exposureClosetTerraceFull day conciergeCentralized TV systemFurnishedCellarShared gardenWindow frames in double glass / wood,1200.0,€ 100/month,"€ 3,600",2015,Excellent / Refurbished,"Central, floor heating, powered by methane","Independent, cold/hot",A21 kWh/m² year
264,Milan,Via Derna,Cimiano,ATM-DERN.G.1 - 03/04/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,53,2,1,6 floors,,Available from 01/03/2024,Optic fiberSecurity doorClosetBalconyCentralized TV systemFurnishedWindow frames in double glass / woodDouble exposure,1200.0,€ 130/month,"€ 3,600",1960,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",D130.24 kWh/m² year
1599,Milan,via messina,Paolo Sarpi,8476RA87868 - 01/31/2024,Rent,Apartment | Full ownership | Stately property class,50,2,2,4 floors,,Available,Optic fiberVideo entryphoneSecurity doorClosetBalconyHalf-day conciergeCentralized TV systemFurnishedWindow frames in double glass / metalDouble exposure,1200.0,€ 100/month,Not indicated,1900,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold/hot",G167.98 kWh/m² year
690,Milan,Via Lodovico Castelvetro,Sempione,EK-109637195 - 02/26/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,52,2,3,4 floors,,Available,Electric gateOptic fiberSecurity doorInternal exposureBalconyHalf-day conciergeCentralized TV systemFurnishedWindow frames in double glass / PVC,1200.0,€ 70/month,"€ 2,400",,Excellent / Refurbished,"Independent, with radiators, gas powered",,F168 kWh/m² year
997,Milan,Via Pietro Crespi,Rovereto,MM1 ROVERETO NUOVO ED ARREDATO BILOCALE CON BALCONE DOPPIA ESPOSIZIONE - 03/04/2024,"Rent, open",Apartment | Full ownership | Stately property class,48,2,3,4 floors,,Available,Optic fiberVideo entryphoneSecurity doorClosetBalconyCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVCDouble exposure,1200.0,€ 100/month,"€ 3,600",1930,Excellent / Refurbished,"Independent, with radiators, powered by methane",System predisposition,F≥ 175 kWh/m² year
1565,Milan,Via Evangelista Torricelli,Ascanio Sforza,LOFT NAVIGLI - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,60,2,0,3 floors,,Available,Electric gateOptic fiberSecurity doorClosetHalf-day conciergeCentralized TV systemFurnishedWindow frames in double glass / metalDouble exposure,1200.0,€ 125/month,"€ 3,600",1920,Good condition / Liveable,"Independent, with radiators, gas powered","Independent, cold/hot",F≥ 175 kWh/m² year
323,Milan,Via Fratelli Rosselli,Bologna - Sulmona,EK-109458665 - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,65,2,6,6 floors,1 in shared parking,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorExternal exposureClosetBalconyTerraceHalf-day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVC,1200.0,€ 160/month,"€ 3,600",1960,Excellent / Refurbished,"Central, floor heating, powered by methane","Independent, cold/hot",
295,Milan,Viale Ca Granda,Prato Centenaro,CA'GRANDA - 02/21/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,65,2,6,7 floors,,Available,Optic fiberVideo entryphoneSecurity doorClosetBalconyHalf-day conciergeCentralized TV systemFurnishedWindow frames in double glass / PVCDouble exposure,1200.0,€ 225/month,Not indicated,1960,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold/hot",F≥ 175 kWh/m² year
1262,Milan,Via Filippo Carcano,Monte Rosa - Lotto,Affitto Carcano - 02/14/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,56,2,2,4 floors,,Available,Optic fiberInternal exposureHalf-day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / metal,1200.0,€ 210/month,"€ 1,200",1930,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",E≥ 175 kWh/m² year
306,Milan,Via San Giuseppe Cottolengo,Tre Castelli - Faenza,AFFITTOCOTTOLENGO - 02/14/2024,Rent,Apartment | Full ownership | Stately property class,60,2,1,3 floors,1 in garage/box,Available,Electric gateOptic fiberVideo entryphoneAlarm systemSecurity doorBalconyTerraceFurnishedShared gardenDouble exposure,1200.0,€ 150/month,"€ 3,600",2010,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold/hot",B38.15 kWh/m² year
1274,Milan,Piazzale nigra,Bovisa,60865138 - 02/19/2024,Rent,Apartment | Full ownership | Medium property class,77,2,6,8 floors,,Available,BalconyFurnished,1200.0,No condominium fees,Not indicated,1930,Good condition / Liveable,"Central, with radiators, powered by methane",,F164.93 kWh/m² year
1542,Milan,Corso San Gottardo,Corso San Gottardo,BILOCALE IN CORTE DEL 700' - 03/06/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,75,2,1,3 floors,,Available,Optic fiberSecurity doorInternal exposureClosetFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / metal,1200.0,€ 400/month,"€ 3,600",1700,Excellent / Refurbished,"Independent, with radiators, gas powered",,G≥ 175 kWh/m² year
310,Milan,Via fontanelli,Bruzzano,60869172 - 03/06/2024,Rent,Apartment | Full ownership | Medium property class,55,2,2,4 floors,,Available,BalconyFurnishedCellar,1200.0,€ 163/month,Not indicated,1960,Good condition / Liveable,"Central, with radiators, powered by methane",Independent,F114.01 kWh/m² year
599,Milan,Via Carlo Farini,Garibaldi - Corso Como,gvr1618 - Via Farini - 03/02/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,30,2,2,4 floors,,Available,Internal exposureFull day conciergeWindow frames in glass / wood,1200.0,€ 50/month,Not indicated,,Good condition / Liveable,"Independent, air heating, power supply","Independent, cold",G262 kWh/m² year
377,Milan,Piazza Firenze,Portello - Parco Vittoria,BILOCALE RISTRUTTURATO PIAZZA FIRENZE - 03/05/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,45,2,0,8 floors,,Available,Optic fiberSecurity doorInternal exposureFull day conciergeCentralized TV systemFurnishedWindow frames in double glass / metal,1220.0,€ 180/month,Not indicated,,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold/hot",F≥ 175 kWh/m² year
880,Milan,Via Lambro 2,Porta Venezia,LAMBRO_2 - 02/02/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,45,2,0,7 floors,,,Security doorInternal exposureClosetFull day conciergeSingle tv systemPartially furnishedShared gardenWindow frames in double glass / wood,1230.0,€ 170/month,"€ 2,460",1950,Good condition / Liveable,"Central, with radiators, powered by methane",,F294.24 kWh/m² year
622,Milan,Via Cardinale Ascanio Sforza,Ascanio Sforza,M0415 - 02/06/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,55,2,4,4 floors,,Available,Optic fiberVideo entryphoneSecurity doorClosetCentralized TV systemFurnishedWindow frames in double glass / PVC,1230.0,€ 170/month,"€ 3,690",1930,Excellent / Refurbished,"Independent, with radiators, gas powered","Independent, cold/hot",G≥ 175 kWh/m² year
1290,Milan,Via Bergognone,Solari,37881125-35 - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,52,2,1,8 floors,,Available,Optic fiberVideo entryphoneSecurity doorInternal exposureHalf-day conciergeCentralized TV systemFurnishedWindow frames in glass / PVC,1240.0,€ 210/month,Not indicated,1950,Good condition / Liveable,"Central, with radiators, powered by methane","Independent, cold/hot",E145 kWh/m² year
446,Milan,Via Rembrandt,Piazzale Siena,AFF24CAP020 - 03/04/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,75,3,4,6 floors,,Available,Optic fiberSecurity doorBalconyFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in glass / woodDouble exposure,1240.0,€ 250/month,Not indicated,1975,Excellent / Refurbished,"Central, with radiators, powered by methane",,G175 kWh/m² year
445,Milan,Via Alfonso Capecelatro,San Siro,AFF24CAP020 - 03/04/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,75,3,4,6 floors,,Available,Optic fiberSecurity doorBalconyFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in glass / woodDouble exposure,1240.0,€ 250/month,Not indicated,1975,Excellent / Refurbished,"Central, with radiators, powered by methane",,G175 kWh/m² year
1277,Milan,Via Vittoria Colonna,Amendola - Buonarroti,60870090 - 02/28/2024,Rent,Apartment | Full ownership | Stately property class,60,2,0,8 floors,,,Security doorInternal exposureClosetFull day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVC,1250.0,€ 350/month,Not indicated,1970,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold",F289.45 kWh/m² year
1258,Milan,Via Antonio Pasinetti,Ripamonti,N2920444 - 02/29/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,90,3,1,3 floors,,,Optic fiberSecurity doorBalconyFurnishedWindow frames in double glass / PVCDouble exposure,1250.0,€ 150/month,Not indicated,1960,Excellent / Refurbished,Independent,,D≥ 175 kWh/m² year
1098,Milan,Via Nicola Antonio Porpora,Città Studi,P-loc - 02/20/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,50,2,4,6 floors,,Available,Security doorExternal exposureBalconyHalf-day conciergeCentralized TV systemFurnishedShared gardenWindow frames in double glass / PVC,1250.0,€ 150/month,"€ 3,750",1970,Excellent / Refurbished,"Central, floor heating","Independent, cold",E144.54 kWh/m² year
1209,Milan,Via Pordenone,Udine,077 - 01/29/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,60,2,4,6 floors,,Available,Optic fiberSecurity doorInternal exposureBalconyFull day conciergeCentralized TV systemFurnishedCellarWindow frames in double glass / PVC,1250.0,€ 150/month,"€ 3,750",1960,Excellent / Refurbished,"Central, with radiators, gas powered","Independent, cold",G195.87 kWh/m² year
1222,Milan,Piazza della Trivulziana,Bicocca,TR 6 - 4 - 70 - 11/22/2023,"Rent, 4+4",Apartment | Full ownership | Stately property class,70,2,4,10 floors,"1 in garage/box, 1 in shared parking",Available from 01/02/2024,Electric gateVideo entryphoneSecurity doorInternal exposureClosetTerraceHalf-day conciergeCentralized TV systemFurnishedCellarWindow frames in double glass / metal,1250.0,€ 220/month,"€ 3,750",2006,Excellent / Refurbished,"Independent, air heating, powered by district heating","Central, cold/hot",D≥ 175 kWh/m² year
1564,Milan,Via Poggibonsi,Gambara,Poggibonsi P1 - 12/15/2023,"Rent, 4+4",Apartment | Full ownership | Medium property class,78,2,1,6 floors,,Available from 01/05/2024,Electric gateOptic fiberSecurity doorExternal exposureClosetBalconyTerraceCentralized TV systemFurnishedCellarShared gardenWindow frames in triple glass / PVC,1250.0,€ 220/month,"€ 3,750",1965,Good condition / Liveable,"Central, with radiators, gas powered","Independent, cold",F135.27 kWh/m² year
1304,Milan,Via Carlo Farini,Garibaldi - Corso Como,EK-80677441 - 03/06/2024,"Rent, 4+4",Apartment | Full ownership | Stately property class,50,2,2,5 floors,,Available from 01/06/2023,Electric gateOptic fiberVideo entryphoneSecurity doorFull day conciergeCentralized TV systemFurnishedWindow frames in double glass / PVCDouble exposure,1250.0,€ 80/month,"€ 3,750",1900,Good condition / Liveable,"Independent, with radiators, powered by methane","Independent, cold/hot",G≥ 175 kWh/m² year
